bloque,nombre,regimen,estatus,plan_o_programa,periodo_de_asignacion,ano,actividad,unidad,planeado,ejercido
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2024,INVERSION,MMUSD,0.654671,1.01002
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2025,GASTOS OPERACION,MMUSD,0.187049,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2025,INVERSION,MMUSD,0.374098,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2026,GASTOS OPERACION,MMUSD,0.093524,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2026,INVERSION,MMUSD,0.187049,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2027,GASTOS OPERACION,MMUSD,0.093524,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2027,INVERSION,MMUSD,0.093524,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2028,GASTOS OPERACION,MMUSD,,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2028,INVERSION,MMUSD,0.093524,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2029,GASTOS OPERACION,MMUSD,,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2029,INVERSION,MMUSD,,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2030,GASTOS OPERACION,MMUSD,,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2030,INVERSION,MMUSD,,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2031,GASTOS OPERACION,MMUSD,,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2031,INVERSION,MMUSD,,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2032,GASTOS OPERACION,MMUSD,,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2032,INVERSION,MMUSD,,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2033,GASTOS OPERACION,MMUSD,,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2033,INVERSION,MMUSD,,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2034,GASTOS OPERACION,MMUSD,,
A-0006,A-0006-3M - Campo Aguacate,Asignacion,Vigente,Extraccion,nan,2034,INVERSION,MMUSD,,
A-0007,A-0007-3M - Campo Ahuatepec,Asignacion,Vigente,Extraccion,nan,2015,GASTOS OPERACION,MMUSD,,
A-0007,A-0007-3M - Campo Ahuatepec,Asignacion,Vigente,Extraccion,nan,2015,INVERSION,MMUSD,,0.006825
A-0007,A-0007-3M - Campo Ahuatepec,Asignacion,Vigente,Extraccion,nan,2016,GASTOS OPERACION,MMUSD,,
A-0007,A-0007-3M - Campo Ahuatepec,Asignacion,Vigente,Extraccion,nan,2016,INVERSION,MMUSD,,0.000204
A-0007,A-0007-3M - Campo Ahuatepec,Asignacion,Vigente,Extraccion,nan,2017,GASTOS OPERACION,MMUSD,,0.022875
A-0007,A-0007-3M - Campo Ahuatepec,Asignacion,Vigente,Extraccion,nan,2017,INVERSION,MMUSD,,0.005727
