bloque,empresa,rol,interes_de_participacion,pais
CNH-R02-L03-VC-01/2018,"Bloque VC 01, S.A.P.I. de C.V.",Operador,1.0,Mexico
CNH-R02-L03-VC-02/2017,"Jaguar Exploracion y Produccion 2.3, S.A.P.I. de C.V.",Operador,1.0,Mexico
CNH-R02-L03-VC-03/2017,"Jaguar Exploracion y Produccion 2.3, S.A.P.I. de C.V.",Operador,1.0,Mexico
CNH-R02-L04-AP-CM-G01/2018,"PC Carigali Mexico Operations, S.A. de C.V.",Socio Financiero,0.4,Malasia
CNH-R02-L04-AP-CM-G01/2018,"Repsol Exploracion Mexico, S.A. de C.V.",Operador,0.4,Espana
CNH-R02-L04-AP-CM-G01/2018,"Ophir Mexico Operations, S.A. de C.V.",Socio Financiero,0.2,Reino Unido
CNH-R02-L04-AP-CM-G03/2018,"PC Carigali Mexico Operations, S.A. de C.V.",Operador,0.6,Malasia
CNH-R02-L04-AP-CM-G03/2018,"Ophir Mexico Operations, S.A. de C.V.",Socio Financiero,0.2,Reino Unido
CNH-R02-L04-AP-CM-G03/2018,"PTTEP Mexico E&P Limited, S. de R.L. de C.V.",Socio Financiero,0.2,Tailandia
CNH-R02-L04-AP-CM-G05/2018,"PC Carigali Mexico Operations, S.A. de C.V.",Socio Financiero,0.5,Malasia
CNH-R02-L04-AP-CM-G05/2018,"Repsol Exploracion Mexico, S.A. de C.V.",Operador,0.5,Espana
CNH-R02-L04-AP-CM-G09/2018,Pemex Exploracion y Produccion,Operador,1.0,Mexico
CNH-R02-L04-AP-CS-G01/2018,"Shell Exploracion y Extraccion de Mexico, S.A. de C.V.",Operador,0.6,Paises Bajos
CNH-R02-L04-AP-CS-G01/2018,"Chevron Energia de Mexico, S. de R.L. de C.V.",Socio Financiero,0.4,E.U.A.
CNH-R02-L04-AP-CS-G02/2018,"Shell Exploracion y Extraccion de Mexico, S.A. de C.V.",Operador,0.6,Paises Bajos
CNH-R02-L04-AP-CS-G02/2018,"Chevron Energia de Mexico, S. de R.L. de C.V.",Socio Financiero,0.4,E.U.A.
CNH-R02-L04-AP-CS-G03/2018,"Chevron Energia de Mexico, S. de R.L. de C.V.",Operador,0.375,E.U.A.
CNH-R02-L04-AP-CS-G03/2018,"Inpex E&P Mexico, S.A. de C.V.",Socio Financiero,0.35,Japon
CNH-R02-L04-AP-CS-G03/2018,Pemex Exploracion y Produccion,Socio Financiero,0.275,Mexico
CNH-R02-L04-AP-CS-G04/2018,"Shell Exploracion y Extraccion de Mexico, S.A. de C.V.",Operador,0.6,Paises Bajos
CNH-R02-L04-AP-CS-G04/2018,"Chevron Energia de Mexico, S. de R.L. de C.V.",Socio Financiero,0.4,E.U.A.
CNH-R02-L04-AP-CS-G05/2018,"Eni Mexico, S. de R.L. de C.V.",Operador,0.65,Italia
CNH-R02-L04-AP-CS-G05/2018,"Qatarenergy E&P Mexico, S.A. de C.V.",Socio Financiero,0.35,Qatar
CNH-R02-L04-AP-CS-G06/2018,"PC Carigali Mexico Operations, S.A. de C.V.",Operador,1.0,Malasia
CNH-R02-L04-AP-CS-G07/2018,"PC Carigali Mexico Operations, S.A. de C.V.",Operador,1.0,Malasia
CNH-R02-L04-AP-CS-G09/2018,"Shell Exploracion y Extraccion de Mexico, S.A. de C.V.",Operador,1.0,Paises Bajos
CNH-R02-L04-AP-CS-G10/2018,"Repsol Exploracion Mexico, S.A. de C.V.",Operador,0.3,Espana
CNH-R02-L04-AP-CS-G10/2018,"PC Carigali Mexico Operations, S.A. de C.V.",Socio Financiero,0.2833,Malasia
CNH-R02-L04-AP-CS-G10/2018,"Sierra Nevada E&P, S. de R.L. de C.V.",Socio Financiero,0.25,Mexico
CNH-R02-L04-AP-CS-G10/2018,"PTTEP Mexico E&P Limited, S. de R.L. de C.V.",Socio Financiero,0.1667,Tailandia
CNH-R02-L04-AP-PG02/2018,Pemex Exploracion y Produccion,Operador,1.0,Mexico
CNH-R02-L04-AP-PG03/2018,"Shell Exploracion y Extraccion de Mexico, S.A. de C.V.",Operador,0.6,Paises Bajos
CNH-R02-L04-AP-PG03/2018,"Qatarenergy E&P Mexico, S.A. de C.V.",Socio Financiero,0.4,Qatar
CNH-R02-L04-AP-PG04/2018,"Shell Exploracion y Extraccion de Mexico, S.A. de C.V.",Operador,0.6,Paises Bajos
CNH-R02-L04-AP-PG04/2018,"Qatarenergy E&P Mexico, S.A. de C.V.",Socio Financiero,0.4,Qatar
CNH-R02-L04-AP-PG05/2018,Pemex Exploracion y Produccion,Operador,1.0,Mexico
CNH-R02-L04-AP-PG06/2018,"Shell Exploracion y Extraccion de Mexico, S.A. de C.V.",Operador,0.6,Paises Bajos
CNH-R02-L04-AP-PG06/2018,"Qatarenergy E&P Mexico, S.A. de C.V.",Socio Financiero,0.4,Qatar
CNH-R02-L04-AP-PG07/2018,"Shell Exploracion y Extraccion de Mexico, S.A. de C.V.",Operador,0.6,Paises Bajos
CNH-R02-L04-AP-PG07/2018,"Qatarenergy E&P Mexico, S.A. de C.V.",Socio Financiero,0.4,Qatar
CNH-R03-L01-AS-B-57/2018,"Premier Oil Mexico Recursos, S.A. de C.V.",Operador,1.0,Reino Unido
CNH-R03-L01-AS-B-60/2018,"Premier Oil Mexico Recursos, S.A. de C.V.",Operador,1.0,Reino Unido
CNH-R03-L01-AS-CS-06/2018,Pemex Exploracion y Produccion,Socio Financiero,0.5,Mexico
CNH-R03-L01-AS-CS-06/2018,"TotalEnergies EP Mexico, S.A. de C.V.",Operador,0.35,Francia
CNH-R03-L01-AS-CS-06/2018,"Qatarenergy E&P Mexico, S.A. de C.V.",Socio Financiero,0.15,Qatar
CNH-R03-L01-AS-CS-13/2018,Pemex Exploracion y Produccion,Operador,1.0,Mexico
CNH-R03-L01-AS-CS-14/2018,"Wintershall Dea Mexico, S. de R.L. de C.V.",Operador,0.4,Alemania
CNH-R03-L01-AS-CS-14/2018,"Premier Oil Mexico Recursos, S.A. de C.V.",Socio Financiero,0.3,Reino Unido
CNH-R03-L01-AS-CS-14/2018,"SapuraOMV Block 30, S. de R.L. de C.V.",Socio Financiero,0.3,Mexico
CNH-R03-L01-AS-CS-15/2018,"Hokchi Energy, S.A. de C.V.",Operador,0.75,Argentina
CNH-R03-L01-AS-CS-15/2018,"Xaxamani Energy, S. de R.L. de C.V.",Socio Financiero,0.25,Mexico
CNH-R03-L01-G-BG-05/2018,"Repsol Exploracion Mexico, S.A. de C.V.",Operador,1.0,Espana
CNH-R03-L01-G-BG-07/2018,"Repsol Exploracion Mexico, S.A. de C.V.",Operador,1.0,Espana
CNH-R03-L01-G-CS-01/2018,"Eni Mexico, S. de R.L. de C.V.",Operador,0.75,Italia
CNH-R03-L01-G-CS-01/2018,"Lukoil Upstream Mexico, S. de R.L. de C.V.",Socio Financiero,0.25,Rusia
CNH-R03-L01-G-CS-02/2018,Pemex Exploracion y Produccion,Operador,0.5,Mexico
CNH-R03-L01-G-CS-02/2018,"Total E&P Mexico, S.A. de C.V.",Socio Financiero,0.5,Francia
CNH-R03-L01-G-CS-03/2018,"BP Exploration Mexico, S.A. de C.V.",Operador,0.425,Reino Unido
CNH-R03-L01-G-CS-03/2018,"Total E&P Mexico, S.A. de C.V.",Socio Financiero,0.275,Francia
CNH-R03-L01-G-CS-03/2018,"Hokchi Energy, S.A. de C.V.",Socio Financiero,0.15,Argentina
CNH-R03-L01-G-CS-03/2018,"QPI Mexico, S.A. de C.V.",Socio Financiero,0.15,Qatar
CNH-R03-L01-G-CS-04/2018,Pemex Exploracion y Produccion,Socio Financiero,0.5,Mexico
CNH-R03-L01-G-CS-04/2018,"Shell Exploracion y Extraccion de Mexico, S.A. de C.V.",Operador,0.5,Paises Bajos
CNH-R03-L01-G-TMV-01/2018,"Capricorn Energy Mexico, S. de R.L. de C.V.",Operador,0.5,Reino Unido
CNH-R03-L01-G-TMV-01/2018,"Citla Energy B15, S.A.P.I. de C.V.",Socio Financiero,0.5,Mexico
CNH-R03-L01-G-TMV-02/2018,Pemex Exploracion y Produccion,Socio Financiero,0.5,Mexico
CNH-R03-L01-G-TMV-02/2018,"Wintershall Dea Mexico, S. de R.L. de C.V.",Operador,0.5,Alemania
CNH-R03-L01-G-TMV-03/2018,Pemex Exploracion y Produccion,Socio Financiero,0.5,Mexico
CNH-R03-L01-G-TMV-03/2018,"Wintershall Dea Mexico, S. de R.L. de C.V.",Operador,0.5,Alemania
CNH-R03-L01-G-TMV-04/2018,Pemex Exploracion y Produccion,Operador,0.8,Mexico
CNH-R03-L01-G-TMV-04/2018,"Cepsa E.P. Mexico, S. de R.L. de C.V.",Socio Financiero,0.2,Espana
